cha_id,cha_lib,cha_long,mf1_hd,mf1_debit,mf1_taux,mf1_vit,tc1_temps,couleur_tp,etat_trafic,geo_shape,geo_point_2d
5319,Bonduelle P1,263,2021-10-13T17:54:00+00:00,480,6.6,19,49,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.544529153725159, 47.2138411454643], [-1.54283471047118, 47.21177460330223]]}","47.2128078744, -1.5436819321"
5757,Renaud P,298,2021-10-13T17:54:00+00:00,360,2.9,16,69,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.572389074803835, 47.2068029933893], [-1.573109401187252, 47.20623783861024], [-1.573598369033122, 47.205780624917075], [-1.574009634867165, 47.205275483203785], [-1.574476005866044, 47.204550738514975]]}","47.2057542203, -1.5735171136"
5110,Verne P1,236,2021-10-13T17:54:00+00:00,180,2.0,19,44,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.533054237470101, 47.235897248366555], [-1.534603908145109, 47.23405390681236]]}","47.2349755776, -1.53382907281"
327,Monnet P2,263,2021-10-13T17:54:00+00:00,120,1.2,19,51,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.549261412917851, 47.20885762522107], [-1.551368133484798, 47.21073990942354]]}","47.2097987673, -1.5503147732"
797,Briand I1,307,2021-10-13T17:54:00+00:00,780,27.0,15,75,4,Dense,"{""type"": ""LineString"", ""coordinates"": [[-1.540438139507576, 47.209503622014616], [-1.538434532464099, 47.20709452408363]]}","47.208299073, -1.53943633599"
57,Ste Luce I12,167,2021-10-13T17:54:00+00:00,240,2.9,18,33,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.525432827033344, 47.22874614560627], [-1.523953834960834, 47.229870885427054]]}","47.2293085155, -1.524693331"
142,Prairie Duc P1,222,2021-10-13T17:54:00+00:00,240,3.3,20,40,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.557149740388322, 47.20520776724189], [-1.554250588258668, 47.20550383113481]]}","47.2053557992, -1.55570016432"
339,Joffre,235,2021-10-13T17:54:00+00:00,120,2.0,16,54,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.546918980227679, 47.22164726100728], [-1.548724726783668, 47.21992198322804]]}","47.2207846221, -1.54782185351"
35,Doulon P7,168,2021-10-13T17:54:00+00:00,420,6.2,15,40,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.525168860234164, 47.228551713320364], [-1.52364546499653, 47.22744499653332]]}","47.2279983549, -1.52440716262"
394,Souvestre,232,2021-10-13T17:54:00+00:00,120,1.2,31,27,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.564742829436424, 47.228861815516986], [-1.561724694791863, 47.229226026985664]]}","47.2290439213, -1.56323376211"
